Alloy_System,Coating_Type,Chemical_Species,pH,Temperature_C,Humidity_%,Exposure_Duration_days,Flow_Condition,Stress_State,Corrosion_Rate_mpy
Nickel-Based Alloy,Zinc Coating,Chloride,11,60,100,772,Static,High,14.65713065
Carbon Steel,Chromium Coating,Carbonate,2,40,25,831,Dynamic,High,14.64100097
Carbon Steel,Anodized Coating,Chloride,12,30,20,3346,Dynamic,Low,14.57296097
Aluminum Alloy,Polymer Coating,Chloride,4,-5,90,2119,Dynamic,High,14.55721932
Aluminum Alloy,Phosphate Conversion,Chloride,4,45,70,1237,Static,High,14.44527546
Carbon Steel,Anodized Coating,Nitrate,8,85,40,1163,Dynamic,Moderate,14.39468154
Carbon Steel,Nickel Coating,Carbonate,6,20,80,3237,Dynamic,Moderate,14.24830334
Aluminum Alloy,Nickel Coating,Sulfate,4,25,100,678,Dynamic,High,14.1733458
Carbon Steel,Zinc Coating,Nitrate,9,50,60,1886,Static,High,14.11251316
Stainless Steel,Nickel Coating,Sulfate,3,60,80,1104,Dynamic,High,14.04685173
Carbon Steel,Polymer Coating,Mixed,5,0,90,3070,Dynamic,Moderate,13.9684028
Copper Alloy,Nickel Coating,Sulfate,3,80,70,2545,Static,Moderate,13.93698763
Carbon Steel,Chromium Coating,Carbonate,8,5,95,3215,Dynamic,Moderate,13.72895039
Carbon Steel,Phosphate Conversion,Sulfate,7,35,35,3498,Dynamic,High,13.65734713
Aluminum Alloy,Paint Coating,Chloride,8,55,85,3178,Dynamic,Low,13.63326142
Stainless Steel,Phosphate Conversion,Sulfate,11,60,100,2751,Dynamic,Moderate,13.52225956
Carbon Steel,Polymer Coating,Chloride,5,5,80,62,Static,Low,13.47700061
Carbon Steel,Zinc Coating,Sulfate,6,-15,80,2657,Static,High,13.43291017
Aluminum Alloy,Phosphate Conversion,Chloride,8,55,60,2456,Dynamic,Moderate,13.43132684
Aluminum Alloy,Anodized Coating,Nitrate,8,65,90,1885,Dynamic,High,13.36230191
Copper Alloy,Anodized Coating,Chloride,11,15,90,70,Dynamic,Low,13.31689582
Carbon Steel,Zinc Coating,Chloride,3,-15,20,421,Dynamic,High,13.29719365
Carbon Steel,Nickel Coating,Sulfate,10,-10,90,2347,Dynamic,Low,13.28683247
Stainless Steel,Chromium Coating,Chloride,2,30,80,940,Static,High,13.27581327
Aluminum Alloy,Paint Coating,Chloride,8,55,60,2537,Static,High,13.1040253
Carbon Steel,Polymer Coating,Sulfate,3,-10,30,419,Dynamic,High,13.09418785
Carbon Steel,Phosphate Conversion,Nitrate,9,-5,80,1069,Static,Moderate,13.0683278
Copper Alloy,Chromium Coating,Nitrate,11,40,100,2856,Dynamic,Moderate,13.05111011
Copper Alloy,Chromium Coating,Nitrate,12,95,90,2239,Static,Low,13.0378466
Copper Alloy,Paint Coating,Chloride,11,-10,75,1218,Dynamic,Moderate,12.97823062
Stainless Steel,Nickel Coating,Chloride,11,90,70,2749,Dynamic,Moderate,12.95254249
Carbon Steel,Paint Coating,Carbonate,7,15,85,3265,Dynamic,Moderate,12.94938632
Carbon Steel,Polymer Coating,Carbonate,2,85,30,1942,Static,High,12.93177413
Aluminum Alloy,Phosphate Conversion,Chloride,4,40,85,1435,Dynamic,Low,12.83207711
Copper Alloy,Anodized Coating,Carbonate,11,50,100,2840,Dynamic,Moderate,12.81596935
Aluminum Alloy,Anodized Coating,Sulfate,5,20,100,3419,Static,High,12.78608711
Stainless Steel,Phosphate Conversion,Chloride,11,50,75,1508,Static,High,12.7048192
Carbon Steel,Phosphate Conversion,Chloride,4,50,30,228,Static,High,12.69162774
Aluminum Alloy,Phosphate Conversion,Chloride,2,45,50,3117,Static,Low,12.45500624
Aluminum Alloy,Nickel Coating,Chloride,8,35,60,306,Dynamic,High,12.45402261
Carbon Steel,Nickel Coating,Sulfate,8,65,45,2234,Dynamic,Low,12.41617026
Aluminum Alloy,Paint Coating,Carbonate,2,100,75,1382,Static,Moderate,12.36820711
Carbon Steel,Chromium Coating,Chloride,8,50,30,1590,Static,High,12.27993375
Aluminum Alloy,Phosphate Conversion,Carbonate,10,45,95,2710,Dynamic,High,12.24734638
Carbon Steel,Chromium Coating,Carbonate,5,-15,80,2338,Dynamic,High,12.12307574
Nickel-Based Alloy,Chromium Coating,Sulfate,2,85,95,2433,Dynamic,Moderate,12.09048191
Copper Alloy,Nickel Coating,Chloride,9,65,95,1391,Dynamic,Low,12.03422942
Carbon Steel,Anodized Coating,Nitrate,5,15,45,2809,Dynamic,High,12.02576283
Aluminum Alloy,Phosphate Conversion,Chloride,6,85,60,1443,Dynamic,Moderate,11.91958676
Stainless Steel,Phosphate Conversion,Chloride,4,100,100,654,Dynamic,Low,11.90592452
Copper Alloy,Nickel Coating,Nitrate,3,35,90,2087,Dynamic,Low,11.86726693
Copper Alloy,Chromium Coating,Chloride,2,-15,90,833,Dynamic,Moderate,11.81634057
Aluminum Alloy,Zinc Coating,Chloride,7,55,65,136,Dynamic,Low,11.7942682
Carbon Steel,Zinc Coating,Mixed,6,10,75,3454,Static,High,11.72623504
Nickel-Based Alloy,Zinc Coating,Chloride,11,20,85,2040,Dynamic,High,11.68774003
Aluminum Alloy,Paint Coating,Nitrate,2,80,75,779,Static,Moderate,11.60892159
Copper Alloy,Polymer Coating,Chloride,10,15,95,2351,Static,High,11.57857346
Copper Alloy,Chromium Coating,Chloride,8,25,90,11,Dynamic,High,11.57304651
Stainless Steel,Zinc Coating,Chloride,3,55,90,3486,Static,Moderate,11.45646027
Aluminum Alloy,Paint Coating,Chloride,4,45,100,2782,Static,Low,11.38033573
Copper Alloy,Paint Coating,Carbonate,11,70,95,2062,Dynamic,Moderate,11.36047164
Copper Alloy,Polymer Coating,Mixed,3,70,90,1964,Static,High,11.33097341
Carbon Steel,Phosphate Conversion,Carbonate,11,5,50,1567,Dynamic,Low,11.30570896
Carbon Steel,Zinc Coating,Nitrate,12,65,15,2515,Dynamic,High,11.20951246
Carbon Steel,Anodized Coating,Sulfate,5,20,45,1540,Static,Moderate,11.18984714
Copper Alloy,Phosphate Conversion,Sulfate,7,95,95,402,Dynamic,Low,11.15129876
Aluminum Alloy,Zinc Coating,Sulfate,8,85,85,655,Static,Moderate,11.14317667
Nickel-Based Alloy,Anodized Coating,Chloride,2,25,95,3412,Dynamic,Moderate,11.1098017
Carbon Steel,Nickel Coating,Nitrate,7,25,60,3319,Static,High,11.08849149
Aluminum Alloy,Polymer Coating,Sulfate,3,15,70,1592,Static,Moderate,11.06273445
Carbon Steel,Phosphate Conversion,Sulfate,7,0,75,548,Static,Moderate,11.06082055
Copper Alloy,Chromium Coating,Sulfate,3,40,80,3087,Static,Moderate,11.04328071
Carbon Steel,Zinc Coating,Nitrate,8,40,60,79,Static,Low,10.94495647
Carbon Steel,Phosphate Conversion,Chloride,12,80,15,3059,Dynamic,Low,10.85698401
Aluminum Alloy,Paint Coating,Mixed,9,70,75,877,Dynamic,High,10.81809899
Copper Alloy,Nickel Coating,Mixed,3,25,95,3424,Dynamic,High,10.76062
Copper Alloy,Zinc Coating,Mixed,3,60,70,192,Dynamic,Moderate,10.71858426
Aluminum Alloy,Zinc Coating,Chloride,3,5,60,288,Static,Low,10.61438209
Carbon Steel,Phosphate Conversion,Mixed,9,10,75,1343,Dynamic,Moderate,10.60462176
Copper Alloy,Nickel Coating,Chloride,3,5,50,2389,Dynamic,High,10.56712349
Aluminum Alloy,Phosphate Conversion,Sulfate,3,30,90,2056,Static,Low,10.53535803
Aluminum Alloy,Anodized Coating,Carbonate,3,30,65,2459,Dynamic,High,10.53030758
Aluminum Alloy,Chromium Coating,Chloride,11,-20,60,596,Static,High,10.50971965
Carbon Steel,Zinc Coating,Mixed,8,50,80,1920,Static,Low,10.50303907
Aluminum Alloy,Anodized Coating,Sulfate,7,95,65,972,Static,Moderate,10.49230103
Stainless Steel,Chromium Coating,Chloride,2,95,70,3061,Static,Moderate,10.4753831
Carbon Steel,Anodized Coating,Sulfate,2,-15,30,1304,Static,High,10.46320373
Copper Alloy,Nickel Coating,Nitrate,12,30,95,1798,Dynamic,Moderate,10.42684658
Carbon Steel,Paint Coating,Mixed,9,10,75,2952,Static,Moderate,10.34945877
Nickel-Based Alloy,Chromium Coating,Sulfate,3,95,80,1606,Static,High,10.31308309
Aluminum Alloy,Chromium Coating,Sulfate,9,70,75,1813,Static,High,10.23740958
Carbon Steel,Chromium Coating,Nitrate,3,45,30,2035,Static,Moderate,10.19569671
Copper Alloy,Phosphate Conversion,Chloride,4,-15,85,1550,Dynamic,High,10.07084865
Carbon Steel,Phosphate Conversion,Mixed,2,10,45,2210,Static,Moderate,9.9935487
Nickel-Based Alloy,Chromium Coating,Chloride,12,70,85,2748,Static,High,9.92528991
Carbon Steel,Nickel Coating,Carbonate,4,-10,85,1430,Static,Moderate,9.898341562
Copper Alloy,Nickel Coating,Sulfate,4,75,75,3354,Dynamic,High,9.770607655
Carbon Steel,Anodized Coating,Mixed,8,60,45,1346,Dynamic,Low,9.758615302
Stainless Steel,Anodized Coating,Chloride,4,90,90,1678,Static,High,9.729160921
Aluminum Alloy,Chromium Coating,Nitrate,10,55,100,164,Static,High,9.705777245
Aluminum Alloy,Nickel Coating,Nitrate,7,100,95,181,Static,Low,9.683663451
Aluminum Alloy,Phosphate Conversion,Chloride,5,30,80,332,Static,Moderate,9.672269786
Stainless Steel,Zinc Coating,Sulfate,3,30,80,1088,Dynamic,High,9.642607926
Aluminum Alloy,Polymer Coating,Sulfate,8,60,85,1358,Static,Moderate,9.561091373
Copper Alloy,Phosphate Conversion,Sulfate,2,15,90,3514,Static,Low,9.443720754
Aluminum Alloy,Anodized Coating,Nitrate,10,50,85,2313,Dynamic,Low,9.369561914
Aluminum Alloy,Chromium Coating,Sulfate,6,70,50,439,Dynamic,High,9.368407818
Aluminum Alloy,Zinc Coating,Mixed,3,60,35,3084,Dynamic,High,9.364212846
Aluminum Alloy,Anodized Coating,Chloride,5,50,45,1329,Dynamic,High,9.328016947
Stainless Steel,Zinc Coating,Chloride,6,50,95,2313,Dynamic,Moderate,9.290930016
Aluminum Alloy,Anodized Coating,Sulfate,8,70,80,731,Dynamic,Low,9.286739513
Copper Alloy,Chromium Coating,Mixed,3,25,80,2576,Dynamic,High,9.242063514
Aluminum Alloy,Polymer Coating,Nitrate,12,50,65,3168,Static,Moderate,9.225437675
Aluminum Alloy,Paint Coating,Carbonate,2,15,70,1483,Dynamic,Moderate,9.211095135
Copper Alloy,Paint Coating,Sulfate,5,95,75,2920,Static,High,9.143656802
Copper Alloy,Zinc Coating,Sulfate,10,35,95,923,Dynamic,Moderate,9.124207535
Copper Alloy,Polymer Coating,Nitrate,11,95,35,2006,Dynamic,High,9.121084854
Aluminum Alloy,Zinc Coating,Nitrate,2,15,50,3034,Dynamic,High,9.110007501
Aluminum Alloy,Chromium Coating,Mixed,6,60,100,3139,Dynamic,Low,9.106920788
Carbon Steel,Paint Coating,Nitrate,7,-10,55,389,Static,High,9.106262253
Aluminum Alloy,Chromium Coating,Nitrate,12,30,35,226,Dynamic,High,8.984232353
Aluminum Alloy,Chromium Coating,Carbonate,8,55,80,2738,Dynamic,High,8.905932973
Aluminum Alloy,Anodized Coating,Chloride,4,70,40,2800,Static,High,8.892124164
Nickel-Based Alloy,Nickel Coating,Sulfate,12,95,70,708,Dynamic,Moderate,8.887272356
Copper Alloy,Polymer Coating,Carbonate,3,10,85,3546,Static,High,8.827441345
Stainless Steel,Polymer Coating,Chloride,11,100,55,2097,Dynamic,Low,8.794319888
Stainless Steel,Anodized Coating,Chloride,12,-5,75,1695,Static,High,8.777547054
Aluminum Alloy,Anodized Coating,Chloride,7,10,90,2663,Static,Moderate,8.724852801
Stainless Steel,Chromium Coating,Sulfate,11,25,85,2936,Dynamic,Low,8.723008977
Copper Alloy,Nickel Coating,Mixed,9,75,90,1905,Dynamic,Moderate,8.69882741
Carbon Steel,Phosphate Conversion,Carbonate,3,20,40,1143,Static,Low,8.684537467
Nickel-Based Alloy,Zinc Coating,Chloride,3,25,90,2106,Dynamic,Low,8.673303842
Stainless Steel,Nickel Coating,Sulfate,2,70,85,251,Dynamic,Low,8.63178839
Carbon Steel,Phosphate Conversion,Mixed,7,-20,80,1153,Dynamic,Low,8.611345508
Aluminum Alloy,Phosphate Conversion,Mixed,10,65,80,1156,Dynamic,High,8.598978452
Stainless Steel,Chromium Coating,Chloride,8,95,65,2449,Static,High,8.487166787
Stainless Steel,Phosphate Conversion,Nitrate,8,85,85,2252,Dynamic,High,8.459993938
Copper Alloy,Zinc Coating,Chloride,7,25,80,3181,Dynamic,Low,8.457262753
Aluminum Alloy,Chromium Coating,Chloride,2,75,25,758,Dynamic,Moderate,8.435399988
Copper Alloy,Anodized Coating,Chloride,7,65,40,3602,Dynamic,High,8.433281595
Stainless Steel,Zinc Coating,Chloride,2,55,45,1057,Static,High,8.410300254
Aluminum Alloy,Nickel Coating,Sulfate,8,95,50,2261,Dynamic,Low,8.377594904
Copper Alloy,Zinc Coating,Sulfate,2,100,30,1629,Static,High,8.33876146
Nickel-Based Alloy,Phosphate Conversion,Chloride,11,40,75,3129,Static,High,8.323901017
Aluminum Alloy,Nickel Coating,Carbonate,12,0,95,3455,Static,Moderate,8.312970312
Nickel-Based Alloy,Chromium Coating,Chloride,4,35,95,336,Dynamic,High,8.299565826
Stainless Steel,Anodized Coating,Chloride,2,15,100,2944,Static,Moderate,8.267119914
Copper Alloy,Phosphate Conversion,Nitrate,7,80,90,3358,Dynamic,Low,8.215044827
Carbon Steel,Polymer Coating,Sulfate,12,-5,25,275,Dynamic,Moderate,8.204776198
Copper Alloy,Phosphate Conversion,Chloride,5,75,95,1297,Static,Low,8.204423444
Aluminum Alloy,Zinc Coating,Mixed,5,90,80,2915,Static,High,8.140217922
Aluminum Alloy,Chromium Coating,Carbonate,9,50,90,3642,Dynamic,Moderate,8.12524244
Copper Alloy,Polymer Coating,Sulfate,6,100,50,544,Dynamic,High,8.121333224
Aluminum Alloy,Zinc Coating,Sulfate,10,45,70,2878,Static,High,8.09984035
Copper Alloy,Nickel Coating,Chloride,12,0,55,1633,Dynamic,Low,8.096401728
Aluminum Alloy,Chromium Coating,Nitrate,12,55,50,1126,Static,High,8.072987927
Carbon Steel,Anodized Coating,Mixed,8,-20,60,410,Static,High,8.067873556
Carbon Steel,Zinc Coating,Sulfate,9,-5,35,471,Dynamic,Moderate,8.042345513
Aluminum Alloy,Anodized Coating,Chloride,10,25,45,1706,Dynamic,High,8.036681804
Copper Alloy,Phosphate Conversion,Nitrate,12,65,60,1740,Static,Moderate,8.031856938
Copper Alloy,Polymer Coating,Chloride,10,-10,90,26,Dynamic,High,7.997740024
Aluminum Alloy,Paint Coating,Nitrate,6,45,80,2193,Dynamic,Low,7.986622374
Copper Alloy,Chromium Coating,Mixed,2,65,80,3073,Static,Low,7.935309264
Copper Alloy,Nickel Coating,Chloride,3,65,30,720,Dynamic,Low,7.921357912
Copper Alloy,Anodized Coating,Nitrate,4,50,80,1994,Dynamic,Moderate,7.793560983
Nickel-Based Alloy,Zinc Coating,Chloride,12,50,90,2401,Static,Moderate,7.747312975
Stainless Steel,Anodized Coating,Sulfate,12,10,85,816,Dynamic,Moderate,7.733127611
Stainless Steel,Polymer Coating,Carbonate,2,80,95,1833,Dynamic,Low,7.714992848
Carbon Steel,Chromium Coating,Mixed,11,100,20,2933,Static,Moderate,7.70445795
Stainless Steel,Chromium Coating,Nitrate,4,95,100,2774,Dynamic,Moderate,7.646094449
Stainless Steel,Anodized Coating,Chloride,8,85,75,2788,Static,Moderate,7.632718611
Copper Alloy,Chromium Coating,Carbonate,6,60,90,2074,Static,High,7.628354657
Stainless Steel,Zinc Coating,Carbonate,3,45,90,1868,Dynamic,High,7.615285164
Carbon Steel,Polymer Coating,Carbonate,7,65,20,1987,Dynamic,High,7.559707345
Carbon Steel,Zinc Coating,Nitrate,8,90,40,2305,Static,Low,7.555560088
Copper Alloy,Nickel Coating,Nitrate,11,85,35,1486,Static,High,7.516480904
Copper Alloy,Anodized Coating,Chloride,2,15,45,3537,Dynamic,Moderate,7.483578914
Stainless Steel,Zinc Coating,Sulfate,11,80,75,672,Static,Low,7.47320715
Copper Alloy,Polymer Coating,Mixed,8,80,65,528,Dynamic,High,7.43433901
Aluminum Alloy,Anodized Coating,Chloride,3,0,25,3259,Dynamic,High,7.409517197
Copper Alloy,Anodized Coating,Sulfate,9,95,60,3184,Static,Moderate,7.397119909
Carbon Steel,Anodized Coating,Nitrate,10,95,20,3003,Dynamic,High,7.362657326
Copper Alloy,Chromium Coating,Chloride,4,45,40,3618,Dynamic,High,7.311273031
Aluminum Alloy,Anodized Coating,Sulfate,5,15,100,1753,Static,Low,7.306658406
Carbon Steel,Polymer Coating,Carbonate,9,100,45,1474,Static,Low,7.265127265
Stainless Steel,Nickel Coating,Chloride,10,25,85,2904,Static,High,7.258191025
Copper Alloy,Phosphate Conversion,Sulfate,12,-20,70,1333,Dynamic,High,7.235105585
Stainless Steel,Polymer Coating,Sulfate,12,25,80,477,Static,Moderate,7.229186426
Stainless Steel,Polymer Coating,Nitrate,12,20,75,2883,Dynamic,Moderate,7.177873262
Copper Alloy,Zinc Coating,Sulfate,11,100,20,1728,Dynamic,High,7.14271176
Carbon Steel,Zinc Coating,Nitrate,6,25,35,1549,Dynamic,Moderate,7.138020739
Carbon Steel,Chromium Coating,Chloride,5,35,20,2039,Static,High,7.120938557
Aluminum Alloy,Phosphate Conversion,Nitrate,12,-20,95,2078,Static,Low,7.096237204
